Attribute count,Type,Clothes,Ears,Mouth,Eyes,Hat,mint,rank
1,Solana,None,None,None,None,Sombrero,5dho5pE1PEzhgXPKUX5uZYCcNgHtSpyWA6488BWbufnU,83
3,Solana,Poncho,None,Cigarette,None,White Fedora 1,9tu5A4xhhnophBNhB32A15zkk8h7oBnX3UEWqfffz2dQ,84
3,Alien,Beige Smoking,None,None,Solana Vipers,Protagonist White Hat,6FQguvrgniUVDNvoCyQfJRaEzf9iFj5jABcX7ZGerci8,85
4,Purple,White Shirt,Silver Earring,None,Solana Vipers,Angel Ring,9aZafRepfjvVedkXwM1D7ydZLRMJBU4DF6nHEHujNeyY,86
2,Solana,Beige Smoking,None,None,None,Flower,FEpbxNzR5ZayAwYFQQcTJV37wjSGxfcL9FJPA8kcAfuK,87
5,Zombie,Green Shirt,Silver Earring,Pipe,Gold Glasses,Green Cap,ENLRbG1b6RabEtx2aWu5rEvvRuQueRFUMY3iZwSKGzsR,88
1,Solana,None,None,None,None,Mining Hat,393Kz2LmdPjaQrfbjFAbYH9wCC5Zr1ukFWBRUrbRenbU,89
2,Solana,Red Shirt,None,None,None,Sombrero,DjKQqFgjVF3jtokaWAtJLN62KaqidAd1niCptfQBY7Kj,90
4,Brown,Green Smoking,None,Mask,Solana Vipers,Flower,7vvGMNWSEVrmd8iDBp8XrCGRwBgMrisU5rtDq9Tg5X64,91
3,Brown,Beige Smoking,None,None,Solana Vipers,Red Cap,4WhwvBBohaVe7unbYx5wFPxjrgcUmgFrTmQUJCh1GAdm,92
4,Orange,None,Gold Earring,Cigarette,Solana Vipers,Sailor Cap,BYskTNjAuuwewegm9sGcUM8EYogMpaEMjMxuTNucdSJi,93
2,Solana,Purple Shirt,None,None,None,Green Beret,7DdsWAXbjm188QPs1HRabmPv2ghLPYzFcwBg4RnV7LpN,94
4,Zombie,Military Vest,None,Mask,Solana Vipers,White Fedora 1,FyBWDEsKSenShhfXUDSGJ8ioGPfxqr3f7peZdHcTUTRC,95
2,Solana,White Shirt,None,None,None,Thief Hat,HjHPsqyVDhDEnRTiXtJQoLZUv2xDm4Z3oHenrLwNJ2UE,96
1,Solana,Orange Kimono,None,None,None,None,7hMFtefCSvYNAC6uHgXiKRzbVXVs5iuDrJZ87xChFRio,97
2,Solana,Green Smoking,None,None,None,Black Fedora 2,7JahKgXMcA2DYpffHzsuxrfh9gX6j67GzvTdaATQe837,98
2,Solana,Red Shirt,None,None,None,Thief Hat,EXccFVzNQYnSrqcFBZNLtYjMsxbUC6DyaQJNSyvrwPp1,99
3,Skeleton,Pirate Vest,None,Pipe,None,Pirate Hat,BZAqzSiRyF1kQKhHN9z1o7WEJvr3tBkAL7tbDmMEM7A1,100
2,Solana,Red Shirt,None,None,Purple Glasses,None,5n5HfJmsm7DtnLtngrk5tpM5daS9RNC6T8WxVeyRJTJP,101
2,Solana,Military Vest,None,None,None,Black Fedora 2,37GDc6sRZqHE7pynqWQi22io9hS9iveLFpV2AcT94Yvg,102
2,Solana,Green Smoking,None,Vape,None,None,6kEw9QfiXxEcB9mGjFcfN2kRiwdqr7goGtw7irqxA9Gg,103
3,Solana,Purple Shirt,Silver Earring,None,None,Green Backwards Cap,Ad78ag8GozQHbnEAQ9Lw7ijQgNq9swzjsu77cczKwtHj,104
2,Solana,Military Vest,None,None,None,White Fedora 2,5VoiPdRdj218Q7rg3DKMGMXhQKRq9cWL25zUAHoxjRNM,105
5,Alien,Purple Shirt,Silver Earring,Cigarette,Gold Glasses,Orange Cap,HQhigcH1BmRdKoVadwJMrDPpfa9CpfbEY3TXQejLCAij,106
1,Solana,None,None,None,None,Blue Backwards Cap,FhQdty1sjJbJnMSd2QZD2FqCHuaQfbeP6pWiwJWWVjXi,107
2,Solana,Blue Shirt,None,None,None,Green Cap,Ab2nhk7HSb6uoth1kbMN5cEKZVAZWLsTE5SLjtqkizMc,108
1,Solana,Biker Vest,None,None,None,None,CtfTRA4ZQzSpxVe9KceyuoAo3LYeNdUMkLLmQpFrL25s,109
2,Solana,Purple Shirt,None,None,None,Cowboy Hat,cm2366vcWJQSVVjQQ47EKKzN8k8WQYvAvAQpxbDqDAo,110
2,Solana,Orange Shirt,None,None,Cool Glasses,None,Ay1U9DWphDgc7hq58Yj1yHabt91zTzvV2YJbAWkPNbaK,111
2,Solana,Beige Smoking,None,None,None,Green Cap,BF8RCsdqobyRHHF52uhrAdVsYhyZbgf6mfA8XhjD3Nt1,112
